languagerepresentation,length,time
Java-BitSet,32 , 0.000987341
Java-BitSet,64 , 0.000658946
Java-BitSet,128 , 0.00054918
Java-BitSet,256 , 0.000543569
Java-BitSet,512 , 0.000543587
Java-BitSet,1024 , 0.000577689
Java-BitSet,2048 , 0.000544213
Java-BitSet,4096 , 0.000529599
Java-BitSet,8192 , 0.000541117
Java-BitSet,16384 , 0.000075121
Java-BitSet,32768 , 0.000004438
julia-BitString,16,1.7325592041015625
julia-BitString,32,1.8155708312988281
julia-BitString,64,2.02050518989563
julia-BitString,128,2.4018750190734863
julia-BitString,256,3.180053949356079
julia-BitString,512,4.687888145446777
julia-BitString,1024,7.708909034729004
julia-BitString,2048,13.773070096969604
julia-BitString,4096,25.84491801261902
julia-BitString,8192,46.394806146621704
julia-BitString,16384,82.5377049446106
julia-BitString,32768,171.22132086753845
Python-BitString,16,1.01801
Python-BitString,32,1.974805
Python-BitString,64,3.912472
Python-BitString,128,7.847731
Python-BitString,256,15.681032
Python-BitString,512,30.798611
Python-BitString,1024,61.380744
Python-BitString,2048,123.757975
Python-BitString,4096,247.846431
Python-BitString,8192,494.210059
Python-BitString,16384,1081.017637
Rust-BitVector,16,0.062120758
Rust-BitVector,32,0.116905444
Rust-BitVector,64,0.225880925
Rust-BitVector,128,0.440298082
Rust-BitVector,256,0.869212381
Rust-BitVector,512,1.742157975
Rust-BitVector,1024,3.437434906
Rust-BitVector,2048,6.858557940
Rust-BitVector,4096,13.696823025
Rust-BitVector,8192,27.426972689
Haskell-Sequence, 16, 0.000025
Haskell-Sequence, 32, 0.000019
Haskell-Sequence, 64, 0.000031
Haskell-Sequence, 128, 0.000061
Haskell-Sequence, 256, 0.000143
Haskell-Sequence, 512, 0.000155
Haskell-Sequence, 1024, 0.000376
Haskell-Sequence, 2048, 0.000577
Haskell-Sequence, 4096, 0.001228
Haskell-Sequence, 8192, 0.00339
Haskell-Sequence, 16384, 0.007209
Haskell-Sequence, 32768, 0.011035
Haskell-Sequence, 65536, 0.023063
CSharp-BitVector,16,0.0018022
CSharp-BitVector,32,0.0034902
CSharp-BitVector,64,0.0066571
CSharp-BitVector,128,0.0145406
CSharp-BitVector,256,0.0272113
CSharp-BitVector,512,0.0544525
CSharp-BitVector,1024,0.1119513
CSharp-BitVector,2048,0.225775
CSharp-BitVector,4096,1.2861328
CSharp-BitVector,8192,3.2292481
CSharp-BitVector,16384,6.6550818
CSharp-BitVector,32768,13.6258886
Octave-BitVector,16,0.236794
Octave-BitVector,32,0.237249
Octave-BitVector,64,0.235136
Octave-BitVector,128,0.237935
Octave-BitVector,256,0.253109
Octave-BitVector,512,0.255395
Octave-BitVector,1024,0.273916
Octave-BitVector,2048,0.307022
Octave-BitVector,4096,0.395399
Octave-BitVector,8192,0.550059
Octave-BitVector,16384,0.874954
Octave-BitVector,32768,1.479951
clojure-BitVector, 16, 0.012472866
clojure-BitVector, 32, 0.013130766
clojure-BitVector, 64, 0.004240464
clojure-BitVector, 128, 9.61727E-4
clojure-BitVector, 256, 9.12809E-4
clojure-BitVector, 512, 9.08228E-4
clojure-BitVector, 1024, 0.00102916
clojure-BitVector, 2048, 0.001059407
clojure-BitVector, 4096, 0.001325802
clojure-BitVector, 8192, 0.005958637
clojure-BitVector, 16384, 9.48503E-4
clojure-BitVector, 32768, 9.63053E-4
clisp-BitVector, 16, 0.01800000
clisp-BitVector, 32, 0.02500000
clisp-BitVector, 64, 0.04700000
clisp-BitVector, 128, 0.12300000
clisp-BitVector, 256, 0.35100000
clisp-BitVector, 512, 1.12600000
clisp-BitVector, 1024, 3.98500000
clisp-BitVector, 2048, 15.67800000
clisp-BitVector, 4096, 56.75800000
clisp-BitVector, 8192, 214.50800000
clisp-BitVector, 16384, 815.74600000
Ruby-BitVector, 16, 0.036850619
Ruby-BitVector, 32, 0.056439107
Ruby-BitVector, 64, 0.101085242
Ruby-BitVector, 128, 0.220908067
Ruby-BitVector, 256, 0.409902497
Ruby-BitVector, 512, 0.829420216
Ruby-BitVector, 1024, 1.693297231
Ruby-BitVector, 2048, 3.33385231
Ruby-BitVector, 4096, 6.710414864
Ruby-BitVector, 8192, 13.272099912
Ruby-BitVector, 16384, 26.569393787
Ruby-BitVector, 32768, 53.580730566
JRuby-BitVector, 16, 0.05747684599919012
JRuby-BitVector, 32, 0.04060562300037418
JRuby-BitVector, 64, 0.05832138400000986
JRuby-BitVector, 128, 0.09605932500016934
JRuby-BitVector, 256, 0.20741987300061737
JRuby-BitVector, 512, 0.38165674100127944
JRuby-BitVector, 1024, 0.7714134149991878
JRuby-BitVector, 2048, 1.8131097209989093
JRuby-BitVector, 4096, 4.054841306000526
JRuby-BitVector, 8192, 8.4004131519996
JRuby-BitVector, 16384, 17.555054145999748
JRuby-BitVector, 32768, 35.19858803900024
Python_DEAP-List, 16, 0.488599
Python_DEAP-List, 32, 0.6873389999999999
Python_DEAP-List, 64, 1.0641630000000002
Python_DEAP-List, 128, 1.8265250000000002
Python_DEAP-List, 256, 3.3308730000000004
Python_DEAP-List, 512, 6.694499
Python_DEAP-List, 1024, 12.898912000000001
Python_DEAP-List, 2048, 25.158162000000004
Python_DEAP-List, 4096, 50.174223999999995
Python_DEAP-List, 8192, 99.24409700000001
Python_DEAP-List, 16384, 205.75968899999998
Python_DEAP-List, 32768, 399.95355499999994
Python_DEAP_numpy-BitVector, 16, 1.0891199999999999
Python_DEAP_numpy-BitVector, 32, 1.6187780000000003
Python_DEAP_numpy-BitVector, 64, 2.6194070000000003
Python_DEAP_numpy-BitVector, 128, 4.653268000000001
Python_DEAP_numpy-BitVector, 256, 8.731281
Python_DEAP_numpy-BitVector, 512, 17.276677
Python_DEAP_numpy-BitVector, 1024, 33.925319
Python_DEAP_numpy-BitVector, 2048, 67.82435999999998
Python_DEAP_numpy-BitVector, 4096, 136.696368
Python_DEAP_numpy-BitVector, 8192, 279.35202899999996
Python_DEAP_numpy-BitVector, 16384, 538.277583
Python_DEAP_numpy-BitVector, 32768, 1052.8926599999998
Pascal-BitVector, 16, 0.03
Pascal-BitVector, 32, 0.05
Pascal-BitVector, 64, 0.09
Pascal-BitVector, 128, 0.17
Pascal-BitVector, 256, 0.34
Pascal-BitVector, 512, 0.69
Pascal-BitVector, 1024, 1.37
Pascal-BitVector, 2048, 2.69
Pascal-BitVector, 4096, 5.33
Pascal-BitVector, 8192, 10.54
Pascal-BitVector, 16384, 20.96
Kotlin-BitVector, 16, 0.03867792
Kotlin-BitVector, 32, 0.064517
Kotlin-BitVector, 64, 0.12211609
Kotlin-BitVector, 128, 0.24145776
Kotlin-BitVector, 256, 0.4863623
Kotlin-BitVector, 512, 0.9740948
Kotlin-BitVector, 1024, 1.9580656
Kotlin-BitVector, 2048, 3.9132738
Kotlin-BitVector, 4096, 7.8148303
Kotlin-BitVector, 8192, 15.699346
Kotlin-BitVector, 16384, 31.424902
clojure-persistentvector, 16, 0.013212743
clojure-persistentvector, 32, 0.006288672
clojure-persistentvector, 64, 0.01500653
clojure-persistentvector, 128, 0.001551401
clojure-persistentvector, 256, 0.001014617
clojure-persistentvector, 512, 0.001037791
clojure-persistentvector, 1024, 0.001141269
clojure-persistentvector, 2048, 8.88718E-4
clojure-persistentvector, 4096, 0.001048589
clojure-persistentvector, 8192, 0.005389979
clojure-persistentvector, 16384, 9.22106E-4
clojure-persistentvector, 32768, 0.001075205
Dart-List, 16, 0.028629
Dart-List, 32, 0.048344
Dart-List, 64, 0.093642
Dart-List, 128, 0.180246
Dart-List, 256, 0.360221
Dart-List, 512, 0.719076
Dart-List, 1024, 1.440539
Dart-List, 2048, 2.87338
Dart-List, 4096, 5.746126
Dart-List, 8192, 11.551797
Dart-List, 16384, 23.012939
perlsimple-BitString, 16, 0.15407
perlsimple-BitString, 32, 0.258558
perlsimple-BitString, 64, 0.460172
perlsimple-BitString, 128, 0.879386
perlsimple-BitString, 256, 1.665773
perlsimple-BitString, 512, 3.250029
perlsimple-BitString, 1024, 6.411737
perlsimple-BitString, 2048, 12.357334
perlsimple-BitString, 4096, 24.604312
perlsimple-BitString, 8192, 49.543573
perlsimple-BitString, 16384, 99.277389
perlsimple-BitString, 32768, 198.167249
perl6-BitVector,16,1.1909656
perl6-BitVector,32,2.058146
perl6-BitVector,64,3.8667589
perl6-BitVector,128,7.4722605
perl6-BitVector,256,14.24196066
perl6-BitVector,512,26.8601744
perl6-BitVector,1024,53.0092424
perl6-BitVector,2048,111.9091263
perl6-BitVector,4096,214.7699626
perl6-BitVector,8192,427.89147608
perl6-BitVector,16384,956.5232945
